date,nav
2025-01-27,0.5832
2025-02-05,0.5863
2025-02-06,0.5917
2025-02-07,0.5969
2025-02-10,0.6039
2025-02-11,0.6008
2025-02-12,0.6046
2025-02-13,0.6024
2025-02-14,0.6154
2025-02-17,0.6174
2025-02-18,0.6225
2025-02-19,0.6209
2025-02-20,0.6142
2025-02-21,0.6269
2025-02-24,0.6211
2025-02-25,0.6139
2025-02-26,0.6294
2025-02-27,0.6306
2025-02-28,0.615
2025-03-03,0.6157
2025-03-04,0.6156
2025-03-05,0.627
2025-03-06,0.6402
2025-03-07,0.6387
2025-03-10,0.63
2025-03-11,0.6255
2025-03-12,0.6222
2025-03-13,0.6217
2025-03-14,0.6311
2025-03-17,0.6344
2025-03-18,0.6481
2025-03-19,0.6474
2025-03-20,0.6372
2025-03-21,0.6292
2025-03-24,0.6328
2025-03-25,0.6242
2025-03-26,0.6249
2025-03-27,0.624
2025-03-28,0.6215
2025-03-31,0.6191
2025-04-01,0.622
2025-04-02,0.6226
2025-04-03,0.6144
2025-04-07,0.5509
2025-04-08,0.5567
2025-04-09,0.5588
2025-04-10,0.5689
2025-04-11,0.5731
2025-04-14,0.584
2025-04-15,0.5876
2025-04-16,0.5816
2025-04-17,0.5865
2025-04-18,0.5866
2025-04-21,0.5864
2025-04-22,0.5896
2025-04-23,0.5962
2025-04-24,0.594
2025-04-25,0.5941
2025-04-28,0.5964
2025-04-29,0.5971
2025-04-30,0.5948
2025-05-06,0.603
2025-05-07,0.6055
2025-05-08,0.6066
2025-05-09,0.6093
2025-05-12,0.6231
2025-05-13,0.6174
2025-05-14,0.6263
2025-05-15,0.6234
2025-05-16,0.6203
2025-05-19,0.6216
2025-05-20,0.6277
2025-05-21,0.6318
2025-05-22,0.6285
2025-05-23,0.6302
2025-05-26,0.6244
2025-05-27,0.6259
2025-05-28,0.6254
2025-05-29,0.6297
2025-05-30,0.6241
2025-06-03,0.6263
2025-06-04,0.6286
2025-06-05,0.6314
2025-06-06,0.6325
2025-06-09,0.6388
2025-06-10,0.6394
2025-06-11,0.6442
2025-06-12,0.6403
2025-06-13,0.6392
2025-06-16,0.6427
