date,nav
2025-01-27,0.8461
2025-02-05,0.8699
2025-02-06,0.8931
2025-02-07,0.9172
2025-02-10,0.9367
2025-02-11,0.9319
2025-02-12,0.9492
2025-02-13,0.9306
2025-02-14,0.9504
2025-02-17,0.9688
2025-02-18,0.9468
2025-02-19,0.9689
2025-02-20,0.965
2025-02-21,1.0162
2025-02-24,1.0151
2025-02-25,1.005
2025-02-26,1.0135
2025-02-27,0.9948
2025-02-28,0.9415
2025-03-03,0.935
2025-03-04,0.9489
2025-03-05,0.961
2025-03-06,0.9957
2025-03-07,0.9822
2025-03-10,0.9741
2025-03-11,0.9712
2025-03-12,0.9712
2025-03-13,0.9483
2025-03-14,0.9636
2025-03-17,0.9606
2025-03-18,0.9708
2025-03-19,0.9528
2025-03-20,0.9417
2025-03-21,0.9152
2025-03-24,0.9177
2025-03-25,0.8985
2025-03-26,0.8974
2025-03-27,0.8997
2025-03-28,0.8939
2025-03-31,0.8952
2025-04-01,0.8895
2025-04-02,0.8918
2025-04-03,0.8765
2025-04-07,0.7801
2025-04-08,0.775
2025-04-09,0.8
2025-04-10,0.816
2025-04-11,0.8312
2025-04-14,0.8366
2025-04-15,0.8291
2025-04-16,0.8243
2025-04-17,0.829
2025-04-18,0.8288
2025-04-21,0.8442
2025-04-22,0.8332
2025-04-23,0.8431
2025-04-24,0.828
2025-04-25,0.8355
2025-04-28,0.8334
2025-04-29,0.839
2025-04-30,0.8571
2025-05-06,0.8782
2025-05-07,0.8735
2025-05-08,0.883
2025-05-09,0.8696
2025-05-12,0.8788
2025-05-13,0.876
2025-05-14,0.8801
2025-05-15,0.8602
2025-05-16,0.8619
2025-05-19,0.8594
2025-05-20,0.8643
2025-05-21,0.8601
2025-05-22,0.8597
2025-05-23,0.8461
2025-05-26,0.8501
2025-05-27,0.8375
2025-05-28,0.8371
2025-05-29,0.8541
2025-05-30,0.8411
2025-06-03,0.8417
2025-06-04,0.8532
2025-06-05,0.874
2025-06-06,0.8749
2025-06-09,0.8807
2025-06-10,0.8649
2025-06-11,0.8658
2025-06-12,0.8662
2025-06-13,0.8562
2025-06-16,0.8632
